IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,BLZ,Belize,Year,2023,true,,,,,,,,,,,,,10.02,,,,,,10.0,,WHO PAHO Core Indicators Portal. Region of the Americas.  17 Jan extract,EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2023,true,,,,,,,,,,,,,10.22,,,,,,10.2,,Provided by MoH during 2025 SDG 3.8.1 country consultation,EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2023,true,,,,,,,,,,,,,106.70,,,,,,106.7,,"National Health Information Bulletin, Ministry of Health",EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AFR,Africa,Country,GMB,Gambia,Year,2023,true,,,,,,,,,,,,,11.10,,,,,,11.1,,"Services statistics report, Ministy of Health",EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2023,true,,,,,,,,,,,,,12.07,,,,,,12.1,,WHO PAHO Core Indicators Portal. Region of the Americas.  17 Jan extract,EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2023,true,,,,,,,,,,,,,13.15,,,,,,13.2,,"INEC, Bancos de datos abiertos, Estadisticas Sociodemograficas y Sociales",EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,IDN,Indonesia,Year,2023,true,,,,,,,,,,,,,13.69,,,,,,13.7,,"Indonesia Health Profile, Ministry of Health",EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2023,true,,,,,,,,,,,,,14.15,,,,,,14.1,,"Statistical Yearbook of Jordan, Department of Statistics",EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2023,true,,,,,,,,,,,,,14.91,,,,,,14.9,,"INE, Estadisticas sociales",EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,PER,Peru,Year,2023,true,,,,,,,,,,,,,15.60,,,,,,15.6,,Oficina General de Tecnologías de la Información,EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2023,true,,,,,,,,,,,,,16.47,,,,,,16.5,,WHO PAHO Core Indicators Portal. Region of the Americas.  17 Jan extract,EN,2025-09-30 00:00:00
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2023,true,,,,,,,,,,,,,17.13,,,,,,17.1,,"Statistical DB, Laos Statistical Information Service",EN,2025-09-30 00:00:00
