country,year,death_pct,uhc_index,hospital_beds,physician_density,gdp_per_capita,health_exp_pct_gdp,rural_pop_pct,hdi,death_rate_per_100k
Bolivia,2023,0.0093410191761311,65.0,14.91,12.84,4010.76053686204,8.16016769,29.6549587173835,0.733,934.10191761311
Vietnam,2023,0.0053042108244507,68.0,25.17,11.07,3704.1935590038,4.53792429,63.3459343573397,0.766,530.4210824450699
Kyrgyzstan,2023,0.0078028816086381,69.0,37.32,15.45,1349.99730650542,5.35275602,65.2478789828796,0.72,780.28816086381
Equatorial Guinea,2023,0.0025519997221796,46.0,21.0,1.53,6945.63069794539,3.5103004,29.3568784979408,0.674,255.19997221796
Slovakia,2023,0.019082702226643,80.0,55.67,37.61,22123.3342114545,7.62857914,46.8098520129395,0.88,1908.2702226643
Ghana,2023,0.0024750795140862,48.0,6.94,2.89,2445.18662529344,3.86030865,43.3047443173464,0.628,247.50795140862002
United Arab Emirates,2023,0.009959513504559,80.0,18.65,29.92,44118.5047192771,5.30494308,14.6428091488645,0.94,995.9513504559001
Nauru,2023,0.0043377303755968,60.0,49.67,12.73,14979.099896799,10.85399055,0.0,0.703,433.77303755968
Mongolia,2023,0.0116339993130743,65.0,85.79,45.96,4517.61578018785,7.21042728,30.7846755981445,0.747,1163.39993130743
Slovenia,2023,0.0197287698413408,80.0,41.15,35.07,29192.8401933019,9.52724361,44.6953710570412,0.931,1972.87698413408
Australia,2023,0.0231634740360603,80.0,38.15,42.28,60758.9044397144,10.51612186,12.7646592367239,0.958,2316.34740360603
Peru,2023,0.0107193188717236,71.0,15.6,16.88,6826.20255614477,6.67309427,16.0519881727639,0.794,1071.93188717236
Bahrain,2023,0.0128061986793745,76.0,18.36,7.41,27147.8083882286,4.32771444,0.0,0.899,1280.61986793745
Egypt,2023,0.0068503015151185,70.0,10.59,11.8,3827.35415374308,4.60955143,57.4313937378532,0.754,685.03015151185
Ecuador,2023,0.0074246853229873,77.0,13.15,23.13,6061.32350181711,8.37526226,36.9128731750883,0.777,742.46853229873
Iran,2023,0.0085847484644152,74.0,18.52,18.11,4605.14881318992,4.85886621,24.0073623657227,0.799,858.4748464415201
China,2023,0.0107828106733247,80.0,56.27,28.19,12887.4357242941,5.25590324,35.278923034668,0.797,1078.28106733247
Algeria,2023,0.0034613609241087,74.0,16.11,16.6,4160.55926736925,5.02188873,26.3800781738427,0.763,346.13609241087
New Zealand,2023,0.0189275071496543,80.0,25.06,37.72,49950.4251691316,9.55072403,16.1700617414095,0.938,1892.75071496543
Gabon,2023,0.0032484392806685,49.0,19.48,5.21,8181.40914134656,2.79254127,9.2118032713033,0.733,324.84392806684997
Uganda,2023,0.002192157533565,49.0,5.0,2.06,882.791717542504,5.47374916,70.7637042210978,0.582,219.21575335650002
Colombia,2023,0.0103662894865378,80.0,16.99,25.37,6222.62164397614,9.14150524,22.1660429673872,0.788,1036.62894865378
Barbados,2023,0.0138415886108114,77.0,63.97,23.98,21079.6145271791,7.4427762,40.6779634566181,0.811,1384.15886108114
Tajikistan,2023,0.0024235230570373,67.0,40.42,18.7,896.748053372182,8.37504482,73.8008474848625,0.691,242.35230570373002
Palau,2023,0.0124329622490375,65.0,43.43,18.08,13009.2481630213,14.55276012,20.9109201217584,0.786,1243.29622490375
Guinea,2023,0.0005232771009996,40.0,3.0,1.15,1244.96550477914,3.7175858,63.1497821563744,0.5,52.32771009996
Zambia,2023,0.0007267380483075,56.0,20.0,1.63,1127.16077872857,6.63951397,55.7646268589074,0.595,72.67380483075
Norway,2023,0.0250211960908859,80.0,32.99,49.75,93072.8925119571,9.8142643,17.1387122773044,0.97,2502.1196090885896
Micronesia,2023,0.0033562406577081,48.0,32.23,9.74,3508.22314197664,11.37430477,77.6071237144589,0.615,335.62406577081003
Turkmenistan,2023,0.0034629169366919,75.0,36.0,18.98,5723.30227157906,5.49196625,52.9418589698289,0.764,346.29169366919
Guinea-Bissau,2023,0.0010255257802925,37.0,10.0,2.49,926.780921081233,8.39794922,55.2665863037109,0.514,102.55257802925001
Comoros,2023,0.0014546352769545,48.0,21.6,4.24,1554.97289190153,6.46315002,67.5875555686754,0.603,145.46352769545
Burundi,2023,0.0008792698950687,41.0,6.86,0.83,264.980379269655,8.94190311,78.8891138134646,0.439,87.92698950687
Albania,2023,0.0115905950525784,64.0,29.02,18.79,7242.45513146613,7.35750389,42.4922812968222,0.81,1159.05950525784
Cambodia,2023,0.0031919330895212,58.0,7.3,2.11,2167.40324198499,6.33888054,59.8908141871153,0.606,319.19330895212
Antigua and Barbuda,2023,0.008869534415113,76.0,34.2,43.18,17348.6006987182,4.81315422,75.425016180434,0.851,886.9534415113
Djibouti,2023,0.0020284105693779,44.0,13.98,2.11,3025.91126413549,2.87128091,27.7117045443485,0.513,202.84105693779
Botswana,2023,0.0031380085017675,55.0,23.57,4.28,7807.88794570471,6.30315065,33.4817232931745,0.731,313.80085017675
Afghanistan,2023,0.0009753225612043,41.0,3.53,3.17,356.496214115892,21.50844383,74.6521379727519,0.496,97.53225612042999
Costa Rica,2023,0.0126649498198004,80.0,11.37,26.87,12838.1185358931,7.61130476,22.0131059799991,0.833,1266.49498198004
Andorra,2023,0.0221138308737745,79.0,25.62,51.16,42425.7066454357,8.64671707,11.3372681834701,0.913,2211.38308737745
Kiribati,2023,0.0009877886577879,48.0,18.6,4.68,2222.04819501897,11.83228588,40.3635354698015,0.644,98.77886577878999
Malta,2023,0.0256748349123648,80.0,40.86,47.19,38096.8360735119,9.52782059,4.48546563829549,0.924,2567.48349123648
Bangladesh,2023,0.0028370933892518,52.0,9.25,7.22,2482.84917843357,2.26678729,68.6007843113939,0.685,283.70933892517996
Iraq,2023,0.0088470493329944,59.0,10.62,10.64,4868.49431080783,5.14179993,30.1317291259766,0.695,884.7049332994401
Sudan,2023,0.0032180956815102,44.0,6.6,2.5,712.122009277344,2.9669323,65.3578436572006,0.511,321.80956815102
Indonesia,2023,0.004916266697457,55.0,13.69,5.59,4287.17313995098,3.70634937,43.1238297535973,0.728,491.6266697457
Belarus,2023,0.0105687763196437,79.0,97.65,47.96,7489.71894713888,6.56549978,21.868913196306,0.824,1056.87763196437
Jordan,2023,0.0123053018338512,65.0,14.15,32.62,4183.49998326866,7.69733906,7.88202708954699,0.754,1230.53018338512
Saint Kitts and Nevis,2023,0.0098863412110049,79.0,39.78,30.85,18361.1449697886,6.16912127,68.4606474906028,0.84,988.6341211004899
Bhutan,2023,0.0024205033723615,60.0,21.62,5.53,3570.61257980872,4.78581429,59.6924800125621,0.698,242.05033723615003
Liberia,2023,0.001521248464708,45.0,15.9,1.78,667.96610514319,13.27175999,46.0775381140902,0.51,152.1248464708
